Start,APnDP,RnW,A2,A3,Parity1,Stop,Park,Trn1,ACK,Trn2,WDATA,Parity2
1,0,0,0,1,1,0,1,1,HLL,1,0b00000000000000000000000000000000,0
1,1,0,0,0,1,0,1,1,HLL,1,0b00000000000000000000000000000010,1
1,0,0,0,1,1,0,1,1,XXL,1,0b00000000000000000000000000000000,0
1,1,0,1,0,0,0,1,1,HLL,1,0b01000000000000000010010011000000,1
1,0,0,0,1,1,0,1,1,XXL,1,0b00000000000000000000000000000000,0
1,1,0,1,1,1,0,1,1,HLL,1,0b00000000000000000000000000000000,0
1,0,1,1,1,1,0,1,1,LHL,L,0bLLLLLLLLLLLLLLLLLLLLLH1101111010,L
1,1,0,0,0,1,1,0,1,1HL,L,0b00000000000000000000000000000001,0
1,1,0,0,0,1,0,1,1,HLL,1,0b00000000000000000000000000000010,1
1,0,0,0,1,1,0,1,1,XXL,1,0b00000000000000000000000000000000,0
1,1,0,1,0,0,0,1,1,HLL,1,0b01000000000000000010010011000000,1
1,0,0,0,1,1,0,1,1,XXL,1,0b00000000000000000000000000000000,0
1,1,0,1,1,1,0,1,1,HLL,1,0b00000000000000000000000000000001,1
1,0,1,1,1,1,0,1,1,LHL,L,0bLLLLLLLLLLLLLLLLLLLLLH1101111010,L
1,1,0,0,0,1,1,0,1,1HL,L,0b00000000000000000000000000000001,0
1,1,0,0,0,1,0,1,1,HLL,1,0b00000000000000000000000000000010,1
1,0,0,0,1,1,0,1,1,HLL,1,0b00000000000000000000000000000000,0
1,1,0,1,0,0,0,1,1,HLL,1,0b01000000000000000010010010100000,1
1,0,0,0,1,1,0,1,1,HLL,1,0b00000000000000000000000000000000,0
1,1,1,1,1,0,0,1,1,HLL,1,0bLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,L
1,0,1,1,1,1,0,1,1,HLL,0,0b000000000000000001LLH1101100011X,0
1,1,0,0,0,1,0,1,1,HLL,1,0b00000000000000000000000000000010,1
1,0,0,0,1,1,0,1,1,XXL,1,0b00000000000000000000000000000000,0
1,1,0,1,0,0,0,1,1,HLL,1,0b01000000000000000010010011000000,1
1,0,0,0,1,1,0,1,1,XXL,1,0b00000000000000000000000000000000,0
1,1,0,1,1,1,0,1,1,HLL,1,0b00000000000000000000000000000000,0
1,0,1,1,1,1,0,1,1,LHL,L,0bLLLLLLLLLLLLLLLLLLLLLH1101111010,L
1,1,0,0,0,1,1,0,1,1HL,L,0b00000000000000000000000000000001,0
1,1,0,0,0,1,0,1,1,HLL,1,0b00000000000000000000000000000010,1
1,0,0,0,1,1,0,1,1,XXL,1,0b00000000000000000000000000000000,0
1,1,0,1,0,0,0,1,1,HLL,1,0b01000000000000000010010011000000,1
1,0,0,0,1,1,0,1,1,XXL,1,0b00000000000000000000000000000000,0
1,1,0,1,1,1,0,1,1,HLL,1,0b00000000000000000000000000000001,1
1,0,1,1,1,1,0,1,1,LHL,L,0bLLLLLLLLLLLLLLLLLLLLLH1101111010,L
1,1,0,0,0,1,1,0,1,1HL,L,0b00000000000000000000000000000001,0
1,1,0,0,0,1,0,1,1,HLL,1,0b00000000000000000000000000000010,1
1,0,0,0,1,1,0,1,1,HLL,1,0b00000000000000000000000000000000,0
1,1,0,1,0,0,0,1,1,HLL,1,0b01000000000000000010010010100000,1
1,0,0,0,1,1,0,1,1,HLL,1,0b00000000000000000000000000000000,0
1,1,1,1,1,0,0,1,1,HLL,1,0bLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,L
1,0,1,1,1,1,0,1,1,HLL,0,0b000000000000000001LLH1101100011X,0
1,1,0,0,0,1,0,1,1,HLL,1,0b00000000000000000000000000000010,1
1,0,0,0,1,1,0,1,1,XXL,1,0b00000000000000000000000000000000,0
1,1,0,1,0,0,0,1,1,HLL,1,0b01000000000000000010010011000000,1
1,0,0,0,1,1,0,1,1,XXL,1,0b00000000000000000000000000000000,0
1,1,0,1,1,1,0,1,1,HLL,1,0b00000000000000000000000000000000,0
1,0,1,1,1,1,0,1,1,LHL,L,0bLLLLLLLLLLLLLLLLLLLLLH1101111010,L
1,1,0,0,0,1,1,0,1,1HL,L,0b00000000000000000000000000000001,0
1,1,0,0,0,1,0,1,1,HLL,1,0b00000000000000000000000000000010,1
1,0,0,0,1,1,0,1,1,XXL,1,0b00000000000000000000000000000000,0
1,1,0,1,0,0,0,1,1,HLL,1,0b01000000000000000010010011000000,1
1,0,0,0,1,1,0,1,1,XXL,1,0b00000000000000000000000000000000,0
1,1,0,1,1,1,0,1,1,HLL,1,0b00000000000000000000000000000001,1
1,0,1,1,1,1,0,1,1,LHL,L,0bLLLLLLLLLLLLLLLLLLLLLH1101111010,L
1,1,0,0,0,1,1,0,1,1HL,L,0b00000000000000000000000000000001,0
1,1,0,0,0,1,0,1,1,HLL,1,0b00000000000000000000000000000010,1
1,0,0,0,1,1,0,1,1,HLL,1,0b00000000000000000000000000000000,0
1,1,0,1,0,0,0,1,1,HLL,1,0b01000000000000000010010010100000,1
1,0,0,0,1,1,0,1,1,HLL,1,0b00000000000000000000000000000000,0
1,1,1,1,1,0,0,1,1,HLL,1,0bLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,L
1,0,1,1,1,1,0,1,1,HLL,0,0b000000000000000001LLH1101100011X,0
1,1,0,0,0,1,0,1,1,HLL,1,0b00000000000000000000000000000010,1
1,0,0,0,1,1,0,1,1,XXL,1,0b00000000000000000000000000000000,0
1,1,0,1,0,0,0,1,1,HLL,1,0b01000000000000000010010011000000,1
1,0,0,0,1,1,0,1,1,XXL,1,0b00000000000000000000000000000000,0
1,1,0,1,1,1,0,1,1,HLL,1,0b00000000000000000000000000000000,0
1,0,1,1,1,1,0,1,1,LHL,L,0bLLLLLLLLLLLLLLLLLLLLLH1101111010,L
1,1,0,0,0,1,1,0,1,1HL,L,0b00000000000000000000000000000001,0
1,1,0,0,0,1,0,1,1,HLL,1,0b00000000000000000000000000000010,1
1,0,0,0,1,1,0,1,1,XXL,1,0b00000000000000000000000000000000,0
1,1,0,1,0,0,0,1,1,HLL,1,0b01000000000000000010010011000000,1
1,0,0,0,1,1,0,1,1,XXL,1,0b00000000000000000000000000000000,0
1,1,0,1,1,1,0,1,1,HLL,1,0b00000000000000000000000000000001,1
1,0,1,1,1,1,0,1,1,LHL,L,0bLLLLLLLLLLLLLLLLLLLLLH1101111010,L
1,1,0,0,0,1,1,0,1,1HL,L,0b00000000000000000000000000000001,0
1,1,0,0,0,1,0,1,1,HLL,1,0b00000000000000000000000000000010,1
1,0,0,0,1,1,0,1,1,HLL,1,0b00000000000000000000000000000000,0
1,1,0,1,0,0,0,1,1,HLL,1,0b01000000000000000010010010100000,1
1,0,0,0,1,1,0,1,1,HLL,1,0b00000000000000000000000000000000,0
1,1,1,1,1,0,0,1,1,HLL,1,0bLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,L
